discoverymethod,n_planets,avg_pl_rade,avg_pl_bmasse,first_disc_year,last_disc_year
Transit,4487,4.365,123.769,2002,2026
Radial Velocity,1161,9.792,1039.835,1995,2026
Microlensing,265,9.86,800.545,2004,2026
Imaging,86,13.446,4498.628,2004,2026
Transit Timing Variations,39,6.493,484.399,2011,2025
Eclipse Timing Variations,17,12.893,2102.722,2009,2023
Orbital Brightness Modulation,9,9.645,350.324,2011,2021
Pulsar Timing,8,5.411,278.156,1992,2024
Astrometry,6,12.45,4673.61,2013,2025
Pulsation Timing Variations,2,12.75,2383.725,2007,2016
Disk Kinematics,1,13.3,794.575,2019,2019
